month_year,price_eur,month_return,month_return_after_TER
04/2003,31477.568593,-0.00884278,-0.00886755
05/2003,31199.219522,0.04776506,0.04773887
06/2003,32689.452165,0.02743183,0.02740615
07/2003,33586.183616,0.05598328,0.05595688
08/2003,35466.448288,-0.07217988,-0.07220307
09/2003,32906.484484,0.05929737,0.05927089
10/2003,34857.752526,-0.02249024,-0.02251467
11/2003,34073.793379,-0.00055263,-0.00057761
12/2003,34054.963126,0.03858392,0.03855796
01/2004,35368.937187,0.01112343,0.01109815
02/2004,35762.360966,0.00054476,0.00051975
03/2004,35781.84292,0.00712333,0.00709816
04/2004,36036.728763,-0.00713662,-0.00716144
05/2004,35779.548212,0.02305136,0.02302579
06/2004,36604.315637,-0.02378049,-0.02380489
07/2004,35733.84719,-0.00192411,-0.00194906
08/2004,35665.091185,-0.01344433,-0.01346899
09/2004,35185.597858,-0.01086789,-0.01089262
10/2004,34803.204602,-0.0032073,-0.00323221
11/2004,34691.580377,0.0092806,0.00925537
12/2004,35013.539095,0.01948508,0.0194596
01/2005,35695.780637,0.00394595,0.00392085
02/2005,35836.634258,0.00449278,0.00446767
03/2005,35997.640307,-0.01843544,-0.01845997
04/2005,35334.007991,0.08420007,0.08417297
05/2005,38309.133789,0.02121258,0.02118705
06/2005,39121.769257,0.03710274,0.03707682
07/2005,40573.29403,-0.01765349,-0.01767805
08/2005,39857.033676,0.0211589,0.02113337
09/2005,40700.364591,-0.01511691,-0.01514153
10/2005,40085.100964,0.06022071,0.0601942
11/2005,42499.05404,-0.00202619,-0.00205114
12/2005,42412.942808,-0.00071337,-0.00073835
01/2006,42382.686507,0.02323241,0.02320683
02/2006,43367.338496,-0.00670728,-0.00673211
03/2006,43076.461623,-0.021574,-0.02159845
04/2006,42147.130244,-0.05376371,-0.05378736
05/2006,39881.144077,0.01356437,0.01353904
06/2006,40422.106832,0.00191279,0.00188775
07/2006,40499.425839,0.01710101,0.01707559
08/2006,41192.006907,0.04124599,0.04121996
09/2006,42891.012,0.02965802,0.02963228
10/2006,44163.074285,-0.01989201,-0.01991651
11/2006,43284.582,0.01633751,0.0163121
12/2006,43991.744199,0.03205011,0.03202431
01/2007,45401.684516,-0.03863194,-0.03865597
02/2007,43647.729227,0.00306083,0.00303576
03/2007,43781.327593,0.02226571,0.02224016
04/2007,44756.149839,0.04658791,0.04656175
05/2007,46841.245434,-0.02039965,-0.02042414
06/2007,45885.700439,-0.04528493,-0.04530879
07/2007,43807.76978,0.0151383,0.01511293
08/2007,44470.944921,0.00271862,0.00269356
09/2007,44591.84452,-0.00293891,-0.00296384
10/2007,44460.792899,-0.0621894,-0.06221285
11/2007,41695.802659,-0.00423946,-0.00426435
12/2007,41519.034856,-0.06940054,-0.0694238
01/2008,38637.5914,-0.05143165,-0.05145536
02/2008,36650.396266,-0.04493371,-0.04495758
03/2008,35003.557924,0.06705906,0.06703238
04/2008,37350.863469,0.01504283,0.01501746
05/2008,37912.72609,-0.09917432,-0.09919684
06/2008,34152.757075,0.00131217,0.00128714
07/2008,34197.571301,0.07477513,0.07474826
08/2008,36754.699032,-0.06159539,-0.06161884
09/2008,34490.77914,-0.0671125,-0.06713582
10/2008,32176.016678,-0.06956685,-0.06959011
11/2008,29937.632524,-0.07577667,-0.07579977
