month_year,price_eur,month_return,month_return_after_TER
01/1998,4025.777400,-0.01211701,-0.01252752
02/1998,3976.997000,0.01847401,0.01805079
03/1998,4050.468100,-0.03127900,-0.03168154
04/1998,3923.773500,0.02302401,0.02259890
05/1998,4014.114500,0.00267900,0.00226234
06/1998,4024.868300,0.00163300,0.00121678
07/1998,4031.440900,0.05538900,0.05495044
08/1998,4254.738400,0.04600198,0.04556732
09/1998,4450.464800,0.01812000,0.01769693
10/1998,4531.107200,-0.02378900,-0.02419466
11/1998,4423.316700,0.02158100,0.02115649
12/1998,4518.776300,-0.02007300,-0.02048020
01/1999,4428.070900,0.02414002,0.02371445
02/1999,4534.964600,-0.00657901,-0.00699182
03/1999,4505.129000,0.02523601,0.02480998
04/1999,4618.820500,-0.00929101,-0.00970269
05/1999,4575.907000,0.03047201,0.03004381
06/1999,4715.344100,-0.01633302,-0.01674178
07/1999,4638.328300,0.00990801,0.00948835
08/1999,4684.284900,-0.00011600,-0.00053149
09/1999,4683.741500,-0.03707600,-0.03747614
10/1999,4510.087100,0.01549400,0.01507202
11/1999,4579.966400,0.00279701,0.00238031
12/1999,4592.776600,0.00710400,0.00668551
01/2000,4625.403700,-0.01899002,-0.01939767
02/2000,4537.567200,-0.02513999,-0.02554509
03/2000,4423.492800,-0.02551999,-0.02592493
04/2000,4310.605300,0.00243898,0.00202242
05/2000,4321.118800,-0.01739399,-0.01780230
06/2000,4245.957300,-0.01309000,-0.01350010
07/2000,4190.377700,0.00397401,0.00355682
08/2000,4207.030300,-0.02837900,-0.02878275
09/2000,4087.639000,0.02048498,0.02006093
10/2000,4171.374200,0.06873402,0.06828992
11/2000,4458.089500,0.09825200,0.09779563
12/2000,4896.105700,0.00635999,0.00594181
01/2001,4927.244900,0.00133801,0.00092191
02/2001,4933.837600,0.05156499,0.05112802
03/2001,5188.250900,-0.04196499,-0.04236309
04/2001,4970.526000,0.00498599,0.00456838
05/2001,4995.309000,-0.00852200,-0.00893400
06/2001,4952.739000,-0.00480500,-0.00521855
07/2001,4928.941100,0.02046200,0.02003796
08/2001,5029.797100,0.02520700,0.02478098
09/2001,5156.583200,0.03837799,0.03794650
10/2001,5354.482500,-0.06962499,-0.07001160
11/2001,4981.676700,0.02045699,0.02003295
12/2001,5083.586800,-0.00498500,-0.00539847
01/2002,5058.245100,-0.02871399,-0.02911760
02/2002,4913.002700,0.00208901,0.00167260
03/2002,4923.266000,-0.01718501,-0.01759341
04/2002,4838.659600,0.02914400,0.02871635
05/2002,4979.677500,0.07293500,0.07248915
06/2002,5342.870300,0.03580100,0.03537058
07/2002,5534.150400,0.02165400,0.02122946
08/2002,5653.986900,0.03391301,0.03348338
09/2002,5845.730600,-0.04057200,-0.04097068
10/2002,5608.557600,-0.02568001,-0.02608488
11/2002,5464.529800,0.05757901,0.05713954
12/2002,5779.172000,0.05217900,0.05174178
01/2003,6080.723400,0.05610199,0.05566314
02/2003,6421.864100,-0.05796099,-0.05835245
03/2003,6049.646500,0.01613800,0.01571575
04/2003,6147.275700,0.05533599,0.05489745
05/2003,6487.441300,-0.02416000,-0.02456550
06/2003,6330.704700,-0.01805000,-0.01845804
07/2003,6216.435500,0.01990700,0.01948319
08/2003,6340.186100,-0.00488400,-0.00529751
09/2003,6309.220600,0.02363000,0.02320464
10/2003,6458.307500,-0.00430401,-0.00471776
11/2003,6430.510900,0.03843101,0.03799950
12/2003,6677.641900,0.00707500,0.00665652
01/2004,6724.886200,0.03915500,0.03872319
02/2004,6988.199100,-0.00831100,-0.00872309
03/2004,6930.120200,-0.04282299,-0.04322074
04/2004,6633.351700,-0.01367101,-0.01408087
05/2004,6542.667100,-0.02724400,-0.02764822
06/2004,6364.418700,-0.01007399,-0.01048535
07/2004,6300.303600,-0.01201201,-0.01242256
08/2004,6224.624300,0.00301800,0.00260120
09/2004,6243.410200,0.03048501,0.03005680
10/2004,6433.740600,0.04106900,0.04063639
11/2004,6697.967900,0.00553899,0.00512115
12/2004,6735.067900,-0.02865100,-0.02905464
01/2005,6542.101500,0.00984901,0.00942938
02/2005,6606.534700,0.00196200,0.00154564
03/2005,6619.496700,-0.02181500,-0.02222148
04/2005,6475.092400,0.01445599,0.01403444
05/2005,6568.696300,0.02004099,0.01961712
06/2005,6700.339500,-0.00244700,-0.00286153
07/2005,6683.943800,-0.00012600,-0.00054149
08/2005,6683.101600,0.01828901,0.01786587
09/2005,6805.328900,0.00162499,0.00120877
10/2005,6816.387500,0.02712201,0.02669520
11/2005,7001.261600,-0.01143500,-0.01184579
12/2005,6921.202200,0.01112600,0.01070583
01/2006,6998.207500,-0.00587700,-0.00629010
02/2006,6957.079000,0.02126000,0.02083562
03/2006,7104.986500,0.02434400,0.02391834
04/2006,7277.950300,-0.01737800,-0.01778632
05/2006,7151.474100,-0.01106101,-0.01147196
06/2006,7072.371600,-0.01385500,-0.01426478
07/2006,6974.383900,-0.00407701,-0.00449086
08/2006,6945.949300,-0.00290899,-0.00332332
09/2006,6925.743600,0.01225200,0.01183137
10/2006,7010.597800,0.02133600,0.02091159
11/2006,7160.175900,0.02081799,0.02039380
12/2006,7309.236400,0.01116501,0.01074483
01/2007,7390.844100,-0.01627700,-0.01668578
02/2007,7270.543300,-0.01100500,-0.01141597
03/2007,7190.531000,0.02354700,0.02312167
04/2007,7359.846400,0.02602000,0.02559365
05/2007,7551.349600,0.01706100,0.01663837
06/2007,7680.183200,-0.01196100,-0.01237157
