Data,IWDA + EMIM
06/1987,58098.78560738437
07/1987,60110.69755814535
08/1987,64152.31021935194
09/1987,61386.36991470059
10/1987,50587.01719849433
11/1987,46366.267919942205
12/1987,46897.08825092531
01/1988,48537.91486111502
02/1988,52830.337489364014
03/1988,53678.8922827356
04/1988,54021.874909011836
05/1988,53453.56983715455
06/1988,55352.126301076656
07/1988,59223.21124341947
08/1988,57212.20877076618
09/1988,59193.67146169965
10/1988,61559.61652450747
11/1988,61167.29304238174
12/1988,61772.09104022391
01/1989,66530.23651002873
02/1989,66917.44002020075
03/1989,66917.03851528569
04/1989,68825.34672955025
05/1989,70004.83492356459
06/1989,70445.63352546078
07/1989,74970.4207865175
08/1989,74270.95275118499
09/1989,77521.37812350164
10/1989,72097.89512547171
11/1989,73885.3454107418
12/1989,73105.46300158802
01/1990,67633.18425111714
02/1990,63859.5785151099
03/1990,61036.85056307657
04/1990,59369.44607056526
05/1990,64532.839630378774
06/1990,64488.2291144481
07/1990,63093.46313607064
08/1990,54653.87627339092
09/1990,48953.84082920841
10/1990,51937.28775741921
11/1990,50056.308445569186
12/1990,51690.661555202656
01/1991,53696.03839975514
02/1991,57673.206652070745
03/1991,60905.157113833884
04/1991,64633.609098975234
05/1991,66962.4109913219
06/1991,65151.1265046928
07/1991,68295.93781870553
08/1991,66560.46510562068
09/1991,66401.3431823617
10/1991,67368.85198393356
11/1991,62003.58083032291
12/1991,64385.653188017015
01/1992,63619.82764051358
02/1992,63883.08438209057
03/1992,62480.97344079285
04/1992,62760.410692048805
05/1992,63989.90289721302
06/1992,60057.13906322283
07/1992,57327.541184017624
08/1992,57222.521052475684
09/1992,57988.96907079799
10/1992,58745.71348590757
11/1992,63694.450823454135
12/1992,64147.674907806024
01/1993,65599.61932989054
02/1993,68806.64596649997
03/1993,73133.88249791604
04/1993,73900.18254079277
05/1993,75770.08643780077
06/1993,77307.02050765016
07/1993,82225.09451102989
08/1993,86630.80170810358
09/1993,81629.71661846779
10/1993,84843.95986388587
11/1993,82173.80111756884
12/1993,86136.48090141875
01/1994,93042.30076492438
02/1994,91464.5108432438
03/1994,85691.76860820588
04/1994,88576.7385285946
05/1994,86876.36177096752
06/1994,85208.77017769284
07/1994,84133.74721971164
08/1994,86747.8287619667
09/1994,83544.41871571059
10/1994,84259.97079491657
11/1994,81785.19905119868
12/1994,84246.46810984582
01/1995,81266.12337183833
02/1995,81528.84341969769
03/1995,82118.7708814733
04/1995,83336.13589165211
05/1995,85328.47281298498
06/1995,84571.50239243412
07/1995,87752.24032544372
08/1995,88375.50408205789
09/1995,92097.03443530513
10/1995,89217.37093241034
11/1995,92495.14614665232
12/1995,96687.24930833216
01/1996,99611.205176961
02/1996,100773.132381904
03/1996,102363.81708397646
04/1996,105642.96432969705
05/1996,106995.484505048
06/1996,106681.286249769
07/1996,101326.26425399986
08/1996,101540.89491783835
09/1996,106409.88365052523
10/1996,107464.91084963172
11/1996,112009.60295487122
12/1996,112633.6515287638
01/1997,117069.82555107116
02/1997,123552.63828839757
03/1997,122491.17455064926
04/1997,127159.80947713036
05/1997,134572.05451778107
06/1997,142847.83689100645
07/1997,153560.5123052454
08/1997,147350.23775778495
09/1997,151256.6138390343
10/1997,140670.86794401563
11/1997,140190.50158933987
12/1997,145703.5162296974
01/1998,153183.9909070253
02/1998,163160.93670644035
03/1998,170652.24659611567
04/1998,171127.4565690412
05/1998,166383.91926038772
06/1998,171544.1731362358
07/1998,171648.62106685137
08/1998,148126.5387370341
09/1998,143689.37233193917
10/1998,150867.18500687953
11/1998,164439.90400391113
12/1998,171348.44221891384
01/1999,180796.55679470653
02/1999,181806.60648649195
03/1999,194214.83370828503
04/1999,204605.64254084113
05/1999,199759.49364811048
06/1999,211639.39614297915
07/1999,203755.34493027432
08/1999,205692.81389361137
09/1999,201913.4214331174
10/1999,216688.52871432214
11/1999,230610.35476050674
12/1999,250512.99418231132
01/2000,242288.28007737276
02/2000,244838.1594407425
03/2000,266141.6956861409
04/2000,267986.7222498553
05/2000,255050.10827660759
06/2000,256627.43990774662
07/2000,257817.00818750224
