Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
10/2008,96125.56494473621
11/2008,89105.85484403234
12/2008,87864.60426816123
01/2009,89290.08370786514
02/2009,85414.29984182218
03/2009,92826.0470694319
04/2009,108556.64040677962
05/2009,119744.9150943396
06/2009,117854.72198952876
07/2009,131154.35118121371
08/2009,129492.74777186094
09/2009,137688.79360786718
10/2009,136409.26499999998
11/2009,140163.7497304133
12/2009,151957.18313202827
01/2010,148028.06129170838
02/2010,152915.9901400147
03/2010,166389.25693300687
04/2010,170516.99788208786
05/2010,168336.14040789794
06/2010,167619.04390840192
07/2010,171138.7452103162
08/2010,172479.90790220816
09/2010,178076.4004835873
10/2010,180498.52985494694
11/2010,187355.23303585162
12/2010,195278.2477772788
01/2011,185437.56796669585
02/2011,181849.7064912534
03/2011,187514.25248117122
04/2011,184874.25876177655
05/2011,186045.55595411884
06/2011,182399.53462948863
07/2011,184172.93583450204
08/2011,165575.88236678197
09/2011,151384.96649633412
10/2011,165353.64375401754
11/2011,161048.41426442086
12/2011,165013.4801762114
01/2012,180456.93073770482
02/2012,187500.12492747148
03/2012,182442.90107816708
04/2012,182250.92520054482
05/2012,172493.72077723124
06/2012,176570.03637807778
07/2012,184628.90602409633
08/2012,179321.7595432558
09/2012,185485.9138747099
10/2012,183485.72694527815
11/2012,185928.92679809016
12/2012,191967.52905866297
01/2013,189530.2111881918
02/2013,193178.36005788707
03/2013,194697.7742600546
04/2013,192233.25261627903
05/2013,188342.8131631554
06/2013,175443.93701834857
07/2013,174766.46725423724
08/2013,172352.92977710612
09/2013,179944.8460273972
10/2013,186832.35359577736
11/2013,184520.81207846588
12/2013,179494.29697628884
01/2014,171294.39681858537
02/2014,173198.84236588716
03/2014,178877.98289817225
04/2014,178740.17116245482
05/2014,188323.91989417205
06/2014,192690.45731439447
07/2014,200673.8642798415
08/2014,208249.35737033663
09/2014,202129.22160057214
10/2014,205499.48484509735
11/2014,204006.03835616432
12/2014,200184.90422535205
01/2015,216294.74924369738
02/2015,224307.686049822
03/2015,231050.3492517891
04/2015,238760.16267498877
05/2015,234364.88395624424
06/2015,223985.0736437572
07/2015,212818.88808242904
08/2015,189362.06081141325
09/2015,183929.72471659372
10/2015,200389.6490877734
11/2015,200560.0987049815
12/2015,190652.20523560204
01/2016,177755.67445054936
02/2016,178006.03082292428
03/2016,192804.5021343873
04/2016,193584.7826361483
05/2016,190563.0684238838
06/2016,199295.82684201037
07/2016,209232.34710699177
08/2016,214135.6440172475
09/2016,216389.06884687743
10/2016,221184.77568061385
11/2016,217187.73511988713
12/2016,219759.92080447768
01/2017,227184.6567364016
02/2017,237647.89949985835
03/2017,241563.68822373956
04/2017,241503.26870997253
05/2017,242244.0891899117
06/2017,240749.22476340688
07/2017,248435.99171143505
08/2017,251964.6288202959
09/2017,251423.91873623568
10/2017,264010.5204158789
11/2017,259843.89352687984
12/2017,266073.0086050195
01/2018,277531.5668780604
02/2018,270039.1987064024
03/2018,262785.5081081081
04/2018,266914.1250931368
05/2018,265884.7793486622
06/2018,255911.46546577453
07/2018,260018.99815950915
08/2018,254910.81690841977
09/2018,255285.8143227366
10/2018,238389.48639335565
11/2018,247334.6228013029
12/2018,239016.81961572042
01/2019,259102.98676880216
02/2019,261347.2208829712
03/2019,267838.04427236307
04/2019,273941.61586735595
05/2019,255677.52542372877
06/2019,266371.926168717
07/2019,268743.3393058918
08/2019,258381.81502355917
09/2019,266955.24057305534
10/2019,271629.8972565895
11/2019,275522.70207612443
12/2019,289613.9475520739
01/2020,280672.06302931585
02/2020,267703.9754577753
03/2020,226972.98236582687
04/2020,249624.58306362628
05/2020,245720.77176724133
06/2020,262449.361510984
07/2020,270439.1989365293
08/2020,274353.6631658291
09/2020,275367.7059275708
10/2020,281323.79723029566
11/2020,300124.8890984974
12/2020,314686.34600277065
01/2021,328025.23353658523
02/2021,330961.2410857189
03/2021,337056.15300639643
04/2021,335284.91690117517
05/2021,339791.1694123431
06/2021,349573.99059239303
07/2021,326060.94202337886
08/2021,336310.3644245393
09/2021,330178.0385352792
10/2021,331593.0442593386
11/2021,326001.36159464915
12/2021,333361.95447642583
01/2022,332060.9913409824
02/2022,320938.50152692193
03/2022,316571.3680569317
04/2022,314924.56411764695
05/2022,311280.72231867816
06/2022,299980.9356888418
07/2022,305045.90062757395
08/2022,312501.1593599999
09/2022,283156.87564628635
10/2022,269808.0672382488
11/2022,296069.8186006167
12/2022,284127.50133133313
01/2023,301863.25505400164
02/2023,288001.65574912884
03/2023,289860.4945655172
04/2023,283863.87128676794
05/2023,286965.66604886256
06/2023,293112.91921590274
07/2023,307121.9818198312
08/2023,292403.45769230765
09/2023,291910.5744915952
10/2023,281032.55578113405
11/2023,294037.7546209859
12/2023,301785.5326532379
01/2024,292646.90607484576
02/2024,307730.0632399685
03/2024,315983.3625037205
04/2024,320588.26182697614
05/2024,317543.82672621915
06/2024,334333.7832071693
07/2024,332121.4626598418
08/2024,329922.445302817
09/2024,349067.731626848
10/2024,342883.07845515496
11/2024,339780.7744765815
12/2024,346097.1292322705
01/2025,350909.55832424713
02/2025,352456.71935644315
03/2025,341488.2389519241
04/2025,328764.402586973
05/2025,343242.92975284107
06/2025,351915.9446706412
07/2025,367958.92701609863
08/2025,364416.2874385081
