Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
11/1997,10000
12/1997,10161.918703903535
01/1998,10420.135253703524
02/1998,11714.57394131067
03/1998,12168.845510367288
04/1998,11766.746001800866
05/1998,11214.716472124974
06/1998,10905.296363220483
07/1998,10493.484296598814
08/1998,8998.642628098782
09/1998,8641.433536039653
10/1998,9872.099870073793
11/1998,10659.911905791334
12/1998,10850.438056098106
01/1999,11366.95709082713
02/1999,11284.988359964376
03/1999,12365.549868444825
04/1999,13719.918925077136
05/1999,13559.102304770937
06/1999,14462.65223795659
07/1999,14245.311461383802
08/1999,14464.60989463925
09/1999,14113.529684923064
10/1999,14973.698048721435
11/1999,16208.84653225431
12/1999,17724.604162718584
01/2000,16960.879598468735
02/2000,16734.42082130872
03/2000,17697.46607816102
04/2000,18577.00863028842
05/2000,17863.287617783015
06/2000,17832.503764158482
07/2000,18067.89126105661
08/2000,19614.45308959811
09/2000,19218.558184041543
10/2000,20054.3241609033
11/2000,18955.31746301732
12/2000,18635.929851301804
01/2001,19490.072900287643
02/2001,19058.631737815263
03/2001,19140.51721041668
04/2001,20000.26697481787
05/2001,20783.753845711148
06/2001,20590.846588319982
07/2001,20077.966651045288
08/2001,18650.76054632607
09/2001,16801.939571296818
10/2001,16793.60188425258
11/2001,18310.713523988175
12/2001,18700.14676837325
01/2002,18919.24233238407
02/2002,18786.058878715517
03/2002,19788.62164680907
04/2002,19591.76484579113
05/2002,19200.560320974393
06/2002,16703.19754082942
07/2002,15547.740634501826
08/2002,15520.129525239608
09/2002,13719.583758092569
10/2002,13899.426211172682
11/2002,14471.634516550042
12/2002,13267.479050504446
01/2003,12786.46701843228
02/2003,12359.233691604813
03/2003,12015.862298392567
04/2003,12738.6027283576
05/2003,13117.775745833476
06/2003,14148.845444372504
07/2003,14957.690661525477
08/2003,16271.451661720082
09/2003,15845.585782550368
10/2003,17148.123788911864
11/2003,16858.24400858195
12/2003,17192.4217944864
01/2004,18028.426372869028
02/2004,18387.964602771932
03/2004,19155.80716863068
04/2004,19229.03007542609
05/2004,18917.795344595885
06/2004,19724.572584038495
07/2004,19298.116920132907
08/2004,19184.5209385397
09/2004,19307.578204278896
10/2004,19249.198944205666
11/2004,19924.46717860526
12/2004,20416.853178757603
01/2005,21018.88774914388
02/2005,21649.075706406573
03/2005,21706.0816246613
04/2005,21125.63343687752
05/2005,22651.424250719465
06/2005,23549.040361379622
07/2005,24468.128223247342
08/2005,24952.34302213553
09/2005,26412.286076851593
10/2005,25530.3348715635
11/2005,26775.83261863407
12/2005,27524.292718831915
01/2006,28490.595094204287
02/2006,29064.563148157406
03/2006,29353.458109951098
