Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
09/2003,23460.84522839403
10/2003,24206.77447646781
11/2003,24322.88610470571
12/2003,24226.219007512434
01/2004,25725.114572038052
02/2004,26625.85932442903
03/2004,28221.607172157874
04/2004,25771.411074525255
05/2004,26628.08155654842
06/2004,27329.195790214588
07/2004,27840.123991663335
08/2004,29118.092646320027
09/2004,28799.57270920809
10/2004,29361.982621422605
11/2004,30075.319131745393
12/2004,31017.73073637486
01/2005,30865.50783619694
02/2005,30959.952701270828
03/2005,30841.433654903598
04/2005,32061.624274456262
05/2005,34158.48546510656
06/2005,36185.53153000617
07/2005,37849.983387426015
08/2005,37011.09076235793
09/2005,38542.3938786246
10/2005,37638.686150074434
11/2005,39606.843063810324
12/2005,41229.99844101158
01/2006,42704.264266214006
02/2006,44476.494381424054
03/2006,45807.61142093605
04/2006,43797.0469109219
05/2006,41494.44406321847
06/2006,43193.15533247885
07/2006,44831.681148505864
08/2006,46381.5028657674
09/2006,47923.36158460114
10/2006,50261.14977419483
11/2006,50837.07826513561
12/2006,52500.23382048582
01/2007,55838.582021832895
02/2007,55323.39454215532
03/2007,55243.20899984749
04/2007,54290.61216467085
05/2007,55510.987970233466
06/2007,51263.37646003776
07/2007,48069.84371847064
08/2007,49674.110122657126
09/2007,50461.70622296939
10/2007,50883.930325652655
11/2007,46283.72465251443
12/2007,44054.82583677063
01/2008,41651.11142763516
02/2008,39883.51096267383
03/2008,38359.61528680512
04/2008,41482.59215858175
05/2008,40539.99536794234
06/2008,35276.083035147596
07/2008,35913.30809538143
08/2008,37271.83266436585
09/2008,35449.41714045968
10/2008,28324.385407679456
11/2008,24199.181850059907
12/2008,24223.256031353252
01/2009,22896.953828099922
02/2009,19292.678516466356
03/2009,19758.050959467702
04/2009,23887.698981326022
05/2009,25187.51958515667
06/2009,25417.335423503137
07/2009,27663.08616615228
08/2009,29420.686586576376
09/2009,30507.913650985804
10/2009,29892.35535391598
11/2009,29926.799951766454
12/2009,32447.55191918957
01/2010,31575.6961843506
02/2010,33135.88831816927
03/2010,35769.97412368105
04/2010,37321.83288705203
05/2010,37052.202056566566
06/2010,36399.05099947714
07/2010,37510.722617199805
08/2010,38242.20735649759
09/2010,38680.5426420464
10/2010,39584.250370596565
11/2010,40508.14337423114
12/2010,41784.44535479829
01/2011,41430.740075796086
02/2011,42319.07736552049
03/2011,40702.40349866744
04/2011,40887.77469462619
05/2011,42412.22592852474
06/2011,41012.40487932173
07/2011,41681.48193326676
08/2011,38986.09955846192
09/2011,36650.53360098761
10/2011,39709.806485341855
11/2011,38853.13600331869
12/2011,40669.440388896546
01/2012,43460.563930844924
02/2012,44025.936819218616
03/2012,44757.79193053629
04/2012,46092.24231822736
05/2012,46213.72434075378
06/2012,47961.88027467048
07/2012,51207.079913013324
08/2012,50131.149195210775
09/2012,49916.148237660214
10/2012,49972.81515670454
11/2012,50291.70546583638
12/2012,51518.007223717366
01/2013,51616.52618101013
02/2013,53980.7959700265
03/2013,56205.805879561376
04/2013,58739.15475493924
05/2013,55143.0458130096
