Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
05/1988,10000
06/1988,10282.096981973757
07/1988,10924.329752153086
08/1988,10645.458225053064
09/1988,10843.612659418799
10/1988,11012.116018940751
11/1988,10888.35651831297
12/1988,10960.521125780178
01/1989,11848.415468829826
02/1989,11886.770798957568
03/1989,12106.556774154025
04/1989,12592.504847415586
05/1989,13031.102266457185
06/1989,13387.821034338398
07/1989,13875.846093758171
08/1989,13950.401387394279
09/1989,14652.67881025526
10/1989,13969.223892747623
11/1989,14099.795657601688
12/1989,14113.811231023745
01/1990,13142.712921266206
02/1990,12674.248258776524
03/1990,12330.849705564702
04/1990,11692.503247799552
05/1990,12500.832917712916
06/1990,12597.27288438
07/1990,12549.733998952981
08/1990,10820.296472830334
09/1990,9902.057808901201
10/1990,10564.129899704341
11/1990,10006.839304539615
12/1990,10162.070159953286
01/1991,10400.000852694973
02/1991,11129.480897683492
03/1991,11847.001094598638
04/1991,12576.250562356543
05/1991,12815.030793972062
06/1991,12892.231771276583
07/1991,13400.443798376928
08/1991,12891.739484405494
09/1991,12887.989810551107
10/1991,13062.40250478143
11/1991,12237.926758208012
12/1991,12571.729400824423
01/1992,12279.237705136047
02/1992,12362.25776265811
03/1992,12096.983279788828
04/1992,12223.100897934111
05/1992,12373.73195800322
06/1992,11956.392271641056
07/1992,11487.938607527165
08/1992,11244.629724644308
09/1992,11297.118050682866
10/1992,11572.144158875126
11/1992,12340.92626414621
12/1992,12528.711613963156
01/1993,12826.500543380824
02/1993,13562.797240953616
03/1993,14247.505050541187
04/1993,14288.825535222037
05/1993,14416.183708846007
06/1993,14775.054972410482
07/1993,15894.984323874382
08/1993,16551.43156126502
09/1993,15675.00593155281
10/1993,16315.579636135799
11/1993,15818.833447044133
12/1993,16499.861733645208
01/1994,17447.92914700808
02/1994,17039.95475505597
03/1994,16026.443994551859
04/1994,16316.471587888082
05/1994,15937.68612391352
06/1994,15626.484794886344
07/1994,15435.343786896125
08/1994,15743.78303324687
09/1994,15374.133898018472
10/1994,15311.532402034247
11/1994,15054.18922439484
12/1994,15609.398024608192
01/1995,15076.340821166816
02/1995,15153.664626901196
03/1995,15270.144360614577
04/1995,15416.707983767637
05/1995,15964.597755374562
06/1995,15875.49566512346
07/1995,16185.087790352556
08/1995,16471.326951275812
09/1995,17114.901228292358
10/1995,16778.284426195252
11/1995,17197.948207685655
12/1995,18176.62857267013
01/1996,18841.839372663966
02/1996,18869.07672829815
03/1996,18986.88400471991
04/1996,19531.239988684807
05/1996,19834.258843716092
06/1996,19840.483694978542
07/1996,18998.52775997725
08/1996,19074.33631441522
09/1996,19634.391485892556
10/1996,19904.861894222904
11/1996,20704.32505729764
