Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
08/1998,75906.21990833683
09/1998,78974.51881058136
10/1998,90744.13943392133
11/1998,97712.48202209298
12/1998,95959.92273106522
01/1999,99774.56613081295
02/1999,102012.67438891108
03/1999,112898.43250376912
04/1999,133342.39577102414
05/1999,125541.19261852466
06/1999,137573.42139323702
07/1999,131628.75587848775
08/1999,130077.27019494327
09/1999,126573.26748506322
10/1999,131515.6796205247
11/1999,147451.7534073136
12/1999,160108.16255848386
01/2000,152618.86840216094
02/2000,153332.46810994222
03/2000,157250.57819525592
04/2000,158521.33008238554
05/2000,140407.0858092156
06/2000,152638.59054484108
07/2000,157036.37471309508
08/2000,164942.3102912895
09/2000,156551.43730576153
10/2000,154082.003120368
11/2000,148649.371340849
12/2000,145953.94822351303
01/2001,150685.65005610223
02/2001,146255.67571304782
03/2001,135713.2557959175
04/2001,142790.3123953358
05/2001,148089.79186620383
06/2001,148066.1789046385
07/2001,139393.61938717548
08/2001,130792.52438601534
09/2001,111804.28585800095
10/2001,119640.87771653874
11/2001,133031.56330272762
12/2001,138880.12107239987
01/2002,143587.3756980329
02/2002,141334.2556296754
03/2002,146300.63696803703
04/2002,142386.79127827144
05/2002,139626.2173151755
06/2002,124441.39349160965
07/2002,119198.23882425374
08/2002,119050.69320137116
09/2002,110935.49022299584
10/2002,116988.33842147276
11/2002,119022.9918041366
12/2002,109217.56567813583
01/2003,106840.60402908828
02/2003,105781.00821677074
03/2003,105770.29133658267
04/2003,109167.02609014825
05/2003,107997.77443121273
06/2003,115779.31754825913
07/2003,118900.73785541463
08/2003,128799.98560715858
09/2003,125888.68894032823
10/2003,135134.99776226495
11/2003,130571.12580312547
12/2003,132189.23536533673
01/2004,138282.52443717397
02/2004,143197.37155076413
03/2004,144854.08938356437
04/2004,140454.24119985462
05/2004,137879.979990474
06/2004,138630.86700138694
07/2004,141170.61056430862
08/2004,144480.8094186359
09/2004,148482.63194858536
10/2004,150304.46038311845
11/2004,155577.6094760575
12/2004,157455.57952982758
01/2005,164048.88196009974
02/2005,168580.1152049025
03/2005,166070.02875406804
04/2005,165958.84540285397
05/2005,174262.63804041434
06/2005,186154.41527588645
07/2005,192910.30615949302
08/2005,190981.5671418336
09/2005,204232.66740610963
10/2005,192329.32732756433
11/2005,203143.6530075609
12/2005,206915.84777047252
01/2006,214316.44505923011
02/2006,217001.56039709313
03/2006,214598.34644333652
04/2006,223910.6697448738
05/2006,205252.60221784856
06/2006,209018.970691962
07/2006,210640.0854209957
08/2006,215733.5746576732
09/2006,218124.3976017275
10/2006,232426.10363374397
11/2006,234013.10519184064
12/2006,244692.48160031583
01/2007,251073.52365650324
02/2007,250385.25308100967
03/2007,259768.89466801053
04/2007,267181.68387742905
